Id,Building_Class,Zoning_Class,Lot_Extent,Lot_Size,Road_Type,Lane_Type,Property_Shape,Land_Outline,Utility_Type,Lot_Configuration,Property_Slope,Neighborhood,Condition1,Condition2,House_Type,House_Design,Overall_Material,House_Condition,Construction_Year,Remodel_Year,Roof_Design,Roof_Quality,Exterior1st,Exterior2nd,Brick_Veneer_Type,Brick_Veneer_Area,Exterior_Material,Exterior_Condition,Foundation_Type,Basement_Height,Basement_Condition,Exposure_Level,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Total_Basement_Area,Heating_Type,Heating_Quality,Air_Conditioning,Electrical_System,First_Floor_Area,Second_Floor_Area,LowQualFinSF,Grade_Living_Area,Underground_Full_Bathroom,Underground_Half_Bathroom,Full_Bathroom_Above_Grade,Half_Bathroom_Above_Grade,Bedroom_Above_Grade,Kitchen_Above_Grade,Kitchen_Quality,Rooms_Above_Grade,Functional_Rate,Fireplaces,Fireplace_Quality,Garage,Garage_Built_Year,Garage_Finish_Year,Garage_Size,Garage_Area,Garage_Quality,Garage_Condition,Pavedd_Drive,W_Deck_Area,Open_Lobby_Area,Enclosed_Lobby_Area,Three_Season_Lobby_Area,Screen_Lobby_Area,Pool_Area,Pool_Quality,Fence_Quality,Miscellaneous_Feature,Miscellaneous_Value,Month_Sold,Year_Sold,Sale_Type,Sale_Condition
1511,20,RLD,90,5649.872985,Paved,NA,Reg,Lvl,AllPub,C,GS,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,SS,HdBoard,HdBoard,None,0,TA,TA,PC,Gd,TA,No,BLQ,1059,Unf,0,150,1209,GasA,Gd,Y,SBrkr,1209,0,0,1209,1,0,1,0,3,1,TA,6,TF,0,NA,Attchd,1966,RFn,2,504,TA,TA,Y,0,0,120,0,0,0,NA,NA,NA,0,4,2010,ConLD,Normal
1512,20,RLD,88,12240.39979,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,SS,Wd Sdng,Plywood,BrkFace,268,TA,TA,CB,TA,TA,No,BLQ,1010,Unf,0,500,1510,GasA,Ex,Y,SBrkr,1510,0,0,1510,1,0,2,0,3,1,Gd,6,TF,0,NA,Attchd,1967,RFn,2,517,TA,TA,Y,0,40,0,0,204,0,NA,GdPrv,NA,0,4,2010,WD,Normal
1513,80,RLD,NA,15403.80808,Paved,Paved,IR1,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,SLvl,6,5,1964,1964,Gable,SS,HdBoard,HdBoard,None,0,TA,TA,CB,TA,TA,No,Unf,0,Unf,0,533,533,GasA,TA,Y,SBrkr,1131,644,0,1775,0,0,2,0,3,1,TA,8,TF,0,NA,Attchd,1964,Unf,2,480,TA,TA,Y,0,172,0,0,0,0,NA,NA,NA,0,5,2010,COD,Family
1514,90,RLD,98,18145.41879,Paved,NA,IR1,Lvl,AllPub,I,GS,NAmes,Norm,Norm,Duplex,1Story,5,6,1962,2001,Hip,SS,HdBoard,HdBoard,BrkFace,144,TA,TA,CB,TA,TA,No,BLQ,1500,Unf,0,228,1728,GasA,TA,Y,SBrkr,1728,0,0,1728,2,0,2,0,6,2,TA,10,TF,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,0,0,0,0,0,NA,NA,NA,0,1,2010,Oth,Abnorml
1515,50,RLD,68,13800.13299,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1.5Fin,5,7,1952,2002,Gable,SS,MetalSd,MetalSd,BrkFace,265,Gd,TA,CB,TA,TA,No,LwQ,670,Unf,0,470,1140,GasA,Gd,Y,SBrkr,1929,532,0,2461,0,0,2,0,3,1,TA,7,MD2,2,Gd,Detchd,1994,Unf,2,400,TA,TA,Y,0,0,0,0,0,0,NA,GdWo,NA,0,3,2010,WD,Normal
1516,50,RLD,120,6441.827821,Paved,NA,Reg,Lvl,AllPub,C,GS,NAmes,Artery,Norm,1Fam,1.5Fin,6,6,1949,1950,Gable,SS,MetalSd,MetalSd,Stone,340,TA,Gd,CB,TA,TA,No,Rec,300,Unf,0,482,782,GasA,TA,Y,SBrkr,1019,537,0,1556,0,0,2,0,3,1,TA,6,TF,1,Gd,Attchd,1949,Unf,2,470,TA,TA,Y,0,0,150,0,0,0,NA,NA,NA,0,1,2010,WD,Normal
1517,85,RLD,75,867.6728888,Paved,NA,IR1,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,SFoyer,6,8,1966,2008,Gable,SS,HdBoard,HdBoard,BrkFace,216,TA,TA,CB,TA,TA,Gd,GLQ,944,Unf,0,136,1080,GasA,Gd,Y,SBrkr,1128,0,0,1128,1,0,1,0,2,1,Gd,5,TF,1,Gd,Attchd,1966,Unf,1,315,TA,TA,Y,238,0,0,0,0,0,NA,NA,Shed,1500,1,2010,WD,Normal
1518,90,RLD,70,15953.72469,Paved,NA,Reg,Lvl,AllPub,C,GS,NAmes,Feedr,Norm,Duplex,1Story,5,5,1958,1958,Gable,SS,HdBoard,HdBoard,None,0,TA,TA,CB,TA,TA,No,Unf,0,Unf,0,1604,1604,GasA,TA,Y,SBrkr,1604,0,0,1604,0,0,2,0,4,2,TA,8,TF,0,NA,Attchd,1958,Unf,2,576,TA,TA,Y,42,0,0,0,0,0,NA,NA,NA,0,3,2010,WD,Normal
1519,20,RLD,70,5771.712814,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,7,5,2003,2009,Gable,SS,VinylSd,VinylSd,BrkFace,506,Gd,TA,PC,Gd,TA,No,GLQ,1188,Unf,0,292,1480,GasA,Ex,Y,SBrkr,1480,0,0,1480,1,0,2,0,3,1,Gd,7,TF,0,NA,Attchd,2003,RFn,2,620,TA,TA,Y,252,73,0,0,0,0,NA,MnPrv,Shed,300,2,2010,WD,Normal
1520,20,RLD,NA,5110.919131,Paved,NA,IR1,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,SS,MetalSd,MetalSd,BrkFace,150,TA,TA,CB,TA,TA,No,BLQ,856,Rec,162,125,1143,GasA,TA,Y,SBrkr,1143,0,0,1143,1,0,1,0,3,1,TA,6,TF,0,NA,Attchd,1959,RFn,1,308,TA,TA,Y,0,0,0,0,0,0,NA,GdPrv,NA,0,5,2010,WD,Normal
1521,20,RLD,87,11841.73782,Paved,NA,IR1,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,SS,MetalSd,MetalSd,BrkFace,91,TA,TA,CB,TA,TA,No,Rec,936,Unf,0,270,1206,GasA,Fa,Y,SBrkr,1206,0,0,1206,0,0,1,0,3,1,TA,6,TF,0,NA,Attchd,1959,RFn,1,312,TA,TA,Y,0,21,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal
1522,20,RLD,80,7744.649437,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,6,5,1959,1959,Gable,SS,Wd Sdng,Wd Sdng,Stone,432,TA,TA,CB,TA,TA,No,Rec,734,Unf,0,510,1244,GasA,Ex,Y,SBrkr,1580,0,0,1580,1,0,1,1,3,1,TA,6,TF,2,Gd,Attchd,1956,Unf,2,440,TA,TA,Y,0,28,0,0,160,0,NA,GdWo,NA,0,6,2010,WD,Normal
1523,50,RLD,60,11748.09527,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1.5Fin,4,5,1956,1956,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,CB,TA,TA,No,Unf,0,Unf,0,832,832,GasA,TA,Y,FuseA,832,505,0,1337,0,0,1,0,3,1,TA,5,TF,0,NA,Attchd,1956,Unf,1,263,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,2,2010,WD,Normal
1524,20,RLD,60,1925.89492,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,SS,WdShing,Wd Shng,None,0,TA,TA,CB,TA,TA,No,BLQ,339,Unf,0,525,864,GasA,TA,Y,SBrkr,1064,0,0,1064,0,1,1,0,2,1,Fa,4,TF,0,NA,Detchd,1952,Unf,1,318,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal
1525,20,RLD,119,9286.180682,Paved,NA,Reg,Lvl,AllPub,C,GS,NAmes,Norm,Norm,1Fam,1Story,5,6,1955,1955,Gable,SS,MetalSd,MetalSd,None,0,TA,Gd,CB,TA,TA,No,Rec,648,Unf,0,324,972,GasA,TA,Y,SBrkr,972,0,0,972,0,0,1,0,3,1,TA,5,TF,0,NA,Attchd,1955,Unf,1,305,TA,TA,Y,0,0,205,0,0,0,NA,GdWo,NA,0,6,2010,WD,Normal
1526,190,RLD,70,16581.53069,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,2fmCon,1Story,5,5,1958,1958,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,CB,TA,TA,Av,Rec,532,Unf,0,456,988,GasA,TA,Y,SBrkr,988,0,0,988,1,0,1,0,2,1,TA,5,TF,0,NA,Attchd,1958,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,4,2010,WD,Abnorml
1527,30,RLD,65,10254.4678,Paved,NA,Reg,Lvl,AllPub,C,GS,NAmes,Norm,Norm,1Fam,1Story,4,7,1920,1994,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,BT,TA,TA,No,Unf,0,Unf,0,576,576,GasA,Gd,Y,SBrkr,985,0,0,985,0,1,1,0,2,1,TA,4,TF,0,NA,Detchd,1989,Unf,2,676,TA,TA,N,0,0,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal
1528,50,RLD,60,14856.7448,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Artery,Norm,1Fam,1.5Fin,6,8,1948,2004,Gable,SS,WdShing,Wd Shng,None,0,TA,TA,CB,TA,TA,No,ALQ,481,Rec,174,161,816,GasA,TA,Y,SBrkr,816,408,0,1224,1,0,1,0,3,1,TA,5,TF,0,NA,Detchd,1950,Unf,1,280,TA,TA,Y,414,0,0,0,0,0,NA,GdWo,NA,0,5,2010,WD,Normal
1529,20,RLD,81,13032.78042,Paved,NA,IR1,Lvl,AllPub,C,GS,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,SS,BrkFace,Wd Sdng,None,0,TA,TA,CB,TA,TA,No,Rec,588,LwQ,350,237,1175,GasA,Ex,Y,SBrkr,1175,0,0,1175,0,0,1,1,3,1,TA,6,TF,0,NA,Detchd,1960,RFn,2,484,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
1530,20,RLD,80,22082.06419,Paved,NA,Reg,Lvl,AllPub,I,MS,NAmes,Norm,Norm,1Fam,1Story,6,7,1963,1984,Hip,SS,Wd Sdng,Wd Sdng,BrkFace,218,TA,TA,CB,TA,TA,Gd,BLQ,717,LwQ,263,415,1395,GasA,TA,Y,SBrkr,1395,0,0,1395,1,0,1,0,2,1,TA,7,MD1,1,TA,Attchd,1963,RFn,2,440,TA,TA,Y,657,0,113,0,240,0,NA,NA,NA,0,5,2010,WD,Normal
1531,50,RMD,60,11574.72059,Paved,NA,Reg,Lvl,AllPub,C,GS,OldTown,NoRMD,NoRMD,1Fam,1.5Fin,4,5,1900,1954,Hip,SS,Wd Sdng,Wd Sdng,BrkFace,771,TA,TA,PC,TA,TA,No,ALQ,48,Unf,0,661,709,GasA,TA,Y,SBrkr,1157,687,0,1844,1,0,1,0,3,1,TA,9,MD2,2,Gd,Basment,1900,Unf,1,240,TA,TA,Y,84,0,0,0,0,0,NA,NA,NA,0,1,2010,COD,AbnoRMDl
1532,30,RMD,56,7950.382442,Paved,Grvl,Reg,Lvl,AllPub,I,GS,OldTown,Artery,NoRMD,1Fam,1Story,5,7,1920,1950,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,PC,TA,TA,No,BLQ,579,Unf,0,357,936,GasA,TA,Y,SBrkr,936,0,0,936,1,0,1,0,2,1,TA,5,TF,1,Gd,NA,NA,NA,0,0,NA,NA,P,51,0,135,0,0,0,NA,MnPrv,NA,0,5,2010,WD,NoRMDal
1533,20,RMD,69,5810.680782,Paved,Grvl,Reg,Bnk,AllPub,I,MS,OldTown,NoRMD,NoRMD,1Fam,1Story,5,7,1957,1957,Hip,SS,MetalSd,MetalSd,None,0,TA,TA,CB,TA,TA,Mn,BLQ,274,Rec,1073,0,1347,GasA,Gd,Y,SBrkr,1347,0,0,1347,1,1,1,0,3,1,Gd,6,TF,0,NA,Detchd,1957,Unf,2,551,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,NoRMDal
1534,45,RMD,50,6969.626798,Paved,NA,Reg,Lvl,AllPub,C,GS,OldTown,NoRMD,NoRMD,1Fam,1.5Fin,6,7,1938,2000,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,PC,Gd,TA,No,Unf,0,Unf,0,827,827,GasA,Gd,Y,SBrkr,827,424,0,1251,0,0,1,0,3,1,Fa,6,TF,0,NA,Detchd,1938,Unf,1,240,Fa,TA,N,0,0,0,0,0,0,NA,NA,NA,0,1,2010,WD,NoRMDal
1535,50,RMD,69,3722.389587,Paved,NA,Reg,Lvl,AllPub,I,GS,OldTown,Artery,NoRMD,1Fam,1.5Fin,5,7,1948,2009,Gable,SS,VinylSd,VinylSd,None,0,TA,Gd,BT,TA,TA,No,BLQ,780,Unf,0,247,1027,GasA,Ex,Y,SBrkr,1027,606,0,1633,0,0,1,0,3,1,Gd,7,TF,1,Gd,Detchd,1948,Unf,1,240,TA,TA,Y,0,100,126,0,0,0,NA,NA,NA,0,6,2010,WD,NoRMDal
1536,50,RMD,NA,4687.563472,Paved,NA,Reg,Lvl,AllPub,I,GS,OldTown,Artery,NoRMD,1Fam,1.5Fin,5,6,1920,1962,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,BT,TA,TA,No,Rec,176,Unf,0,832,1008,GasA,TA,Y,SBrkr,1060,185,0,1245,0,0,1,0,3,1,TA,6,TF,0,NA,Detchd,1962,Unf,1,315,TA,TA,Y,0,0,334,0,0,0,NA,NA,NA,0,3,2010,WD,NoRMDal
1537,30,RMD,68,22688.87136,Paved,NA,Reg,Lvl,AllPub,I,GS,OldTown,NoRMD,NoRMD,1Fam,1Story,2,2,1923,1970,Gable,SS,AsbShng,AsbShng,None,0,TA,Fa,BT,Fa,Fa,No,Unf,0,Unf,0,678,678,GasA,TA,N,SBrkr,832,0,0,832,0,0,1,0,2,1,TA,5,TF,1,Gd,Detchd,1928,Unf,2,780,Fa,Fa,N,0,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,AbnoRMDl
1538,70,RMD,60,13117.3412,Paved,Grvl,Reg,Lvl,AllPub,C,GS,OldTown,NoRMD,NoRMD,1Fam,2Story,8,9,1900,2003,Gable,SS,Wd Sdng,Wd Sdng,None,0,Gd,Gd,BT,TA,TA,No,Unf,0,Unf,0,930,930,GasW,TA,N,SBrkr,930,636,0,1566,0,0,2,0,3,1,Gd,7,TF,0,NA,Detchd,1930,Unf,1,288,TA,TA,Y,54,228,246,0,0,0,NA,NA,NA,0,4,2010,WD,AbnoRMDl
1539,70,RMD,50,2905.135467,Paved,Grvl,Reg,Lvl,AllPub,I,GS,OldTown,NoRMD,NoRMD,1Fam,2Story,8,9,1890,2002,Gable,SS,Wd Sdng,Wd Sdng,None,0,Gd,Gd,S,Fa,Fa,No,Unf,0,Unf,0,346,346,GasA,Ex,Y,SBrkr,1157,1111,0,2268,0,0,3,0,3,1,Gd,7,TF,0,NA,Detchd,2003,Unf,2,624,TA,TA,N,0,108,0,0,0,0,NA,NA,NA,0,4,2010,WD,NoRMDal
1540,190,RMD,100,12210.76095,Paved,NA,Reg,Lvl,AllPub,I,GS,OldTown,NoRMD,NoRMD,2fmCon,2Story,5,3,1910,1950,Gable,SS,MetalSd,MetalSd,None,0,TA,Fa,BT,TA,TA,Mn,Unf,0,Unf,0,840,840,Grav,Fa,N,FuseF,1128,1128,0,2256,0,0,2,0,4,2,Fa,12,TF,0,NA,NA,NA,NA,0,0,NA,NA,N,0,18,18,0,0,0,NA,NA,NA,0,6,2010,WD,AbnoRMDl
1541,70,RMD,60,10663.83099,Paved,NA,Reg,Lvl,AllPub,I,GS,OldTown,NoRMD,NoRMD,1Fam,2Story,6,7,1922,1994,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,CB,Fa,TA,No,Rec,283,Unf,0,455,738,GasA,Ex,Y,SBrkr,868,602,0,1470,0,0,1,1,2,1,TA,6,MD1,0,NA,Detchd,1970,Unf,2,624,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,NoRMDal
1542,50,RMD,53,20720.33462,Paved,NA,Reg,Lvl,AllPub,C,GS,BrkSide,Feedr,Feedr,1Fam,1.5Fin,5,6,1950,1997,Gable,SS,MetalSd,MetalSd,None,0,TA,Gd,CB,TA,TA,No,Rec,788,Unf,0,200,988,GasA,Ex,Y,SBrkr,1030,582,0,1612,0,0,1,1,3,1,TA,7,TF,0,NA,Detchd,1950,Unf,1,363,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,3,2010,WD,NoRMDal
1543,75,RLD,NA,19700.41008,Paved,NA,IR1,Bnk,AllPub,C,GS,BrkSide,Norm,Norm,1Fam,2.5Unf,7,7,1922,2005,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,BT,Gd,TA,No,BLQ,474,Unf,0,634,1108,GasA,TA,N,FuseA,1160,908,0,2068,0,0,1,1,3,1,Gd,8,TF,1,Gd,Detchd,1928,Unf,1,315,TA,TA,Y,0,0,60,0,0,0,NA,NA,NA,0,5,2010,WD,Normal
1544,30,RMD,50,10596.77679,Paved,NA,Reg,Lvl,AllPub,I,GS,BrkSide,Feedr,NoRMD,1Fam,1Story,4,7,1925,1950,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,BT,TA,TA,No,Rec,188,Unf,0,577,765,GasA,TA,N,FuseF,765,0,0,765,1,0,1,0,2,1,Gd,4,TF,0,NA,Detchd,1926,Unf,1,200,Fa,TA,P,135,0,41,0,0,0,NA,MnPrv,NA,0,4,2010,WD,NoRMDal
1545,50,RMD,50,17171.04608,Paved,NA,Reg,Lvl,AllPub,I,GS,BrkSide,NoRMD,NoRMD,1Fam,1.5Fin,6,7,1939,1950,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,BT,TA,Gd,No,BLQ,452,LwQ,12,144,608,GasA,TA,Y,SBrkr,608,524,0,1132,1,0,1,0,2,1,TA,5,TF,0,NA,Detchd,1939,Unf,1,240,TA,TA,Y,0,0,128,0,0,0,NA,MnPrv,NA,0,4,2010,WD,AbnoRMDl
1546,50,RMD,50,15182.68304,Paved,NA,Reg,Lvl,AllPub,I,GS,BrkSide,NoRMD,NoRMD,1Fam,1.5Fin,6,6,1940,1950,Gable,SS,MetalSd,MetalSd,None,0,TA,Gd,CB,TA,TA,No,LwQ,264,Unf,0,308,572,GasA,Ex,Y,FuseA,848,348,0,1196,0,1,1,1,3,1,TA,6,TF,2,Gd,Detchd,1973,Unf,2,576,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2010,WD,NoRMDal
1547,50,RMD,53,6513.758708,Paved,NA,Reg,Lvl,AllPub,C,GS,BrkSide,Feedr,NoRMD,1Fam,1.5Fin,5,6,1942,1950,Gable,SS,MetalSd,MetalSd,Stone,300,TA,TA,CB,TA,TA,No,Rec,360,LwQ,159,316,835,GasA,TA,Y,FuseA,955,498,0,1453,0,0,1,1,3,1,Gd,7,MD2,2,Fa,Detchd,1942,Unf,1,240,TA,TA,Y,0,0,35,0,148,0,NA,NA,NA,0,3,2010,WD,NoRMDal
1548,50,RMD,50,17980.45798,Paved,NA,Reg,Lvl,AllPub,I,GS,BrkSide,NoRMD,NoRMD,1Fam,1.5Fin,6,7,1948,1950,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,CB,TA,TA,No,Rec,300,Unf,0,480,780,GasA,TA,Y,SBrkr,780,636,0,1416,0,0,1,1,3,1,TA,6,TF,0,NA,Detchd,1948,Unf,1,312,TA,TA,P,221,0,48,0,0,0,NA,NA,NA,0,3,2010,WD,NoRMDal
1549,50,RMD,52,10442.58091,Paved,NA,Reg,Lvl,AllPub,I,GS,BrkSide,NoRMD,NoRMD,1Fam,1.5Fin,5,7,1936,1980,Gable,SS,VinylSd,VinylSd,None,0,TA,TA,CB,TA,Fa,No,Rec,276,Unf,0,252,528,GasA,Gd,Y,SBrkr,548,492,0,1040,0,0,1,0,2,1,TA,5,TF,0,NA,Detchd,1979,Fin,2,624,TA,TA,P,306,0,32,0,0,0,NA,NA,NA,0,5,2010,WD,NoRMDal
1550,50,RMD,52,13025.54931,Paved,NA,Reg,Lvl,AllPub,I,GS,BrkSide,NoRMD,NoRMD,1Fam,1.5Fin,5,5,1930,1950,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,BT,TA,TA,No,LwQ,448,Unf,0,480,928,GasA,TA,Y,FuseF,928,608,0,1536,0,0,2,0,4,1,TA,7,TF,1,Gd,Detchd,1930,Unf,2,480,TA,TA,Y,0,10,0,0,0,0,NA,MnPrv,NA,0,3,2010,WD,NoRMDal
1551,30,RMD,51,7617.11875,Paved,NA,Reg,Lvl,AllPub,I,GS,OldTown,Artery,NoRMD,1Fam,1Story,6,5,1923,1950,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,BT,Fa,Fa,No,ALQ,960,Unf,0,164,1124,GasA,TA,Y,SBrkr,1068,0,0,1068,1,0,1,0,2,1,TA,5,TF,1,Gd,Detchd,1923,Unf,1,288,TA,TA,Y,0,0,128,0,0,0,NA,NA,NA,0,3,2010,WD,NoRMDal
1552,50,RMD,57,11028.35301,Paved,Grvl,Reg,Lvl,AllPub,I,GS,OldTown,NoRMD,NoRMD,1Fam,1.5Fin,4,5,1915,1950,Gable,SS,MetalSd,MetalSd,None,0,TA,Fa,CB,TA,TA,No,Unf,0,Unf,0,888,888,GasA,Ex,Y,SBrkr,888,1074,0,1962,0,0,1,1,4,1,TA,9,TF,1,TA,Detchd,1915,Unf,2,572,TA,TA,Y,160,0,364,0,0,0,NA,GdPrv,NA,0,6,2010,WD,NoRMDal
1553,70,RMD,60,12264.72163,Paved,Grvl,Reg,Lvl,AllPub,I,GS,OldTown,NoRMD,NoRMD,1Fam,2Story,6,8,1912,2009,Gable,SS,Wd Sdng,Wd Sdng,None,0,Gd,Gd,PC,TA,TA,No,Unf,0,Unf,0,780,780,GasA,Ex,Y,SBrkr,780,780,0,1560,0,0,1,1,3,1,Gd,7,TF,0,NA,NA,NA,NA,0,0,NA,NA,N,344,0,0,0,168,0,NA,NA,NA,0,5,2010,WD,NoRMDal
1554,70,RMD,52,10735.64758,Paved,Grvl,Reg,Lvl,AllPub,I,GS,OldTown,NoRMD,NoRMD,1Fam,2Story,6,8,1920,1993,Gable,SS,VinylSd,VinylSd,None,0,TA,Gd,BT,TA,TA,No,Unf,0,Unf,0,662,662,GasA,Ex,Y,SBrkr,662,662,0,1324,0,1,1,0,3,1,TA,6,TF,0,NA,Detchd,1920,Unf,1,180,TA,TA,Y,0,0,112,0,0,0,NA,GdPrv,NA,0,2,2010,WD,NoRMDal
1555,20,RLD,100,7794.893268,Paved,NA,IR1,Lvl,AllPub,I,GS,ClearCr,Feedr,Norm,1Fam,1Story,5,5,1959,1959,Gable,SS,HdBoard,HdBoard,BrkFace,90,TA,TA,CB,Gd,TA,No,Rec,766,Unf,0,656,1422,GasA,Gd,Y,SBrkr,1675,0,0,1675,0,0,2,0,3,1,TA,8,TF,2,Gd,Attchd,1959,Unf,1,365,TA,TA,Y,0,132,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal
1556,50,RLD,72,15255.55094,Paved,NA,IR1,Lvl,AllPub,I,GS,ClearCr,Norm,Norm,1Fam,1.5Fin,5,3,1917,1950,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,BT,Gd,Fa,No,Unf,0,Unf,0,689,689,GasA,Gd,N,SBrkr,725,499,0,1224,0,0,1,1,3,1,NA,6,Mod,0,NA,Detchd,1917,Unf,1,180,Fa,Fa,N,0,0,248,0,0,0,NA,NA,NA,0,1,2010,COD,Normal
1557,190,RLD,60,9993.056378,Paved,NA,Reg,Lvl,AllPub,I,GS,SWISU,Norm,Norm,2fmCon,1.5Fin,5,4,1915,1950,Gable,SS,Wd Sdng,Wd Shng,None,0,Fa,Fa,BT,TA,TA,No,Rec,1026,Unf,0,186,1212,GasA,TA,N,SBrkr,1212,180,0,1392,1,0,1,0,3,1,TA,6,TF,0,NA,NA,NA,NA,0,0,NA,NA,N,0,0,168,0,0,0,NA,NA,NA,0,2,2010,ConLD,Normal
1558,50,RLD,65,5651.099454,Paved,NA,IR1,Bnk,AllPub,I,MS,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1940,1950,Gable,SS,VinylSd,VinylSd,None,0,TA,TA,CB,Fa,TA,No,LwQ,368,Unf,0,232,600,GasA,Ex,N,SBrkr,600,319,0,919,0,0,1,0,3,1,TA,5,TF,0,NA,Detchd,1940,Unf,1,231,TA,TA,Y,0,0,45,0,0,0,NA,MnPrv,NA,0,3,2010,WD,Normal
1559,70,Commer,NA,16027.68428,Paved,NA,IR1,Lvl,AllPub,I,GS,SWISU,Norm,Norm,1Fam,2Story,4,1,1907,1950,Gambrel,SS,Wd Sdng,Stucco,None,0,TA,TA,CB,TA,TA,No,Rec,73,Unf,0,634,707,GasW,TA,N,SBrkr,942,942,0,1884,0,0,1,1,4,1,TA,7,TF,0,NA,NA,NA,NA,0,0,NA,NA,N,0,0,239,0,0,0,NA,NA,NA,0,3,2010,WD,Abnorml
1560,190,RHD,60,10091.03007,Paved,NA,Reg,Lvl,AllPub,C,GS,SWISU,Artery,Norm,2fmCon,1.5Fin,5,7,1910,1950,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,Gd,BT,TA,TA,Mn,LwQ,736,Unf,0,120,856,GasA,Gd,Y,SBrkr,936,744,0,1680,1,0,2,0,2,2,TA,7,TF,1,Gd,Detchd,1910,Unf,2,450,TA,Fa,P,56,144,0,0,0,0,NA,NA,NA,0,6,2010,COD,Normal
1561,90,RLD,72,6250.246934,Paved,NA,Reg,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,Duplex,1Story,4,3,1967,1967,Gable,TG,Plywood,Plywood,BrkFace,72,Fa,Fa,CB,TA,TA,No,ALQ,704,Unf,0,1128,1832,GasA,TA,N,SBrkr,1832,0,0,1832,2,0,2,0,4,2,TA,8,TF,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,58,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal
1562,20,RLD,65,13418.23422,Paved,NA,Reg,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,2008,Hip,SS,HdBoard,HdBoard,BrkFace,47,TA,TA,CB,TA,TA,Mn,BLQ,240,Rec,474,150,864,GasA,Ex,Y,SBrkr,892,0,0,892,1,0,1,0,3,1,Gd,5,TF,0,NA,Detchd,1966,Unf,1,416,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal
